Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,Description
ethyl cinnamate,-3.0980000000000003,1,176.215,0,1,3,26.3,-3.0,CCOC(=O)C=Cc1ccccc1,"cid is 11574,compound_name is 1-Methylcyclohexene,cid_paras is 11574,Molecular_Weight is 96.17,XLogP3 is 2.4,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 96.093900383,Monoisotopic_Mass is 96.093900383,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 7,Formal_Charge is 0,Complexity is 80,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Clearcolorlessliquid;[Sigma-AldrichMSDS]"
Terbacil,-3.033,1,216.668,1,1,0,54.86,-2.484,Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C,"cid is 31241,compound_name is 2-Ethylhexanal,cid_paras is 31241,Molecular_Weight is 128.21,XLogP3 is 2.6,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 5,Exact_Mass is 128.120115130,Monoisotopic_Mass is 128.120115130,Topological_Polar_Surface_Area is 17.1,""Unit"":""Å²"",Heavy_Atom_Count is 9,Formal_Charge is 0,Complexity is 69,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 1,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is 2-ethylhexaldehydeisawhiteliquidwithamildodor.Floatsonwater.(USCG,1999)"",""Markup"":[{""Start"":0,""Length"":18,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/2-ethylhexaldehyde"",""Type"":""PubChemInternalLink"",""Extra"":""CID-31241"",Color/Form is Colorlesshigh-boilingliquid,Odor is Mildodor,Boiling_Point is 326.1°Fat760mmHg(NTP,1992),Melting_Point is lessthan-100°C,Flash_Point is 125°F(NTP,1992),Density is 0.82at68°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":45,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
Clonazepam,-3.707,1,315.716,1,3,2,84.6,-3.4989999999999997,Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,"cid is 3828,compound_name is Khellin,cid_paras is 3828,Molecular_Weight is 260.24,XLogP3 is 2.3,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 5,Rotatable_Bond_Count is 2,Exact_Mass is 260.06847348,Monoisotopic_Mass is 260.06847348,Topological_Polar_Surface_Area is 57.9,""Unit"":""Å²"",Heavy_Atom_Count is 19,Formal_Charge is 0,Complexity is 405,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
p-Toluenesulfonamide ,-1.815,1,171.22099999999998,1,1,1,60.16,-1.74,Cc1ccc(cc1)S(=O)(=O)N,"cid is 2164,compound_name is Amobarbital,cid_paras is 2164,Molecular_Weight is 226.27,XLogP3 is 2.1,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 3,Rotatable_Bond_Count is 4,Exact_Mass is 226.13174244,Monoisotopic_Mass is 226.13174244,Topological_Polar_Surface_Area is 75.3,""Unit"":""Å²"",Heavy_Atom_Count is 16,Formal_Charge is 0,Complexity is 303,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Amobarbitalisawhitecrystallinesolidwithnoodorandaslightlybittertaste.(NTP,1992)"",""Markup"":[{""Start"":0,""Length"":11,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Amobarbital"",""Type"":""PubChemInternalLink"",""Extra"":""CID-2164,Color/Form is Crystals,Odor is Odorless,Melting_Point is 313to316°F(NTP,1992)"
Chlorbufam,-3.629,1,223.659,1,1,2,38.33,-2.617,CC(OC(=O)Nc1cccc(Cl)c1)C#C,"cid is 90590,compound_name is Fenfuram,cid_paras is 90590,Molecular_Weight is 201.22,XLogP3 is 2.2,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 2,Exact_Mass is 201.078978594,Monoisotopic_Mass is 201.078978594,Topological_Polar_Surface_Area is 42.2,""Unit"":""Å²"",Heavy_Atom_Count is 15,Formal_Charge is 0,Complexity is 224,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
2-Methylheptane,-3.3080000000000003,1,114.232,0,0,4,0.0,-5.08,CCCCCC(C)C,"cid is 7359,compound_name is 2-Ethylbutanal,cid_paras is 7359,Molecular_Weight is 100.16,XLogP3 is 1.5,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 3,Exact_Mass is 100.088815002,Monoisotopic_Mass is 100.088815002,Topological_Polar_Surface_Area is 17.1,""Unit"":""Å²"",Heavy_Atom_Count is 7,Formal_Charge is 0,Complexity is 46.1,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is 2-ethylbutyraldehydeappearsasaclearcolorlessliquid.Lessdensethanwaterandinsolubleinwater.Vaporsheavierthanair."",""Markup"":[{""Start"":0,""Length"":20,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/2-ethylbutyraldehyde"",""Type"":""PubChemInternalLink"",""Extra"":""CID-7359"",Boiling_Point is 116.00to117.00°C.@760.00mmHg,Melting_Point is -89°C,Flash_Point is 70°F(NFPA,2010),Density is 0.808-0.814"
Cyhalothrin,-6.905,1,449.8560000000001,0,3,6,59.32000000000001,-8.176,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,"cid is 90590,compound_name is Fenfuram,cid_paras is 90590,Molecular_Weight is 201.22,XLogP3 is 2.2,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 2,Exact_Mass is 201.078978594,Monoisotopic_Mass is 201.078978594,Topological_Polar_Surface_Area is 42.2,""Unit"":""Å²"",Heavy_Atom_Count is 15,Formal_Charge is 0,Complexity is 224,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
Apazone,-2.9,1,300.3620000000001,0,3,2,56.220000000000006,-3.5380000000000003,CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C ,"cid is 8209,compound_name is 1-Tetradecanol,cid_paras is 8209,Molecular_Weight is 214.39,XLogP3 is 6.2,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 12,Exact_Mass is 214.229665576,Monoisotopic_Mass is 214.229665576,Topological_Polar_Surface_Area is 20.2,""Unit"":""Å²"",Heavy_Atom_Count is 15,Formal_Charge is 0,Complexity is 102,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Tetradecanolisacolorlessthickliquid(heated)withafaintalcoholodor.Solidifiesandfloatsonwater.(USCG,1999)"",""Markup"":[{""Start"":0,""Length"":12,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Tetradecanol"",""Type"":""PubChemInternalLink"",""Extra"":""CID-8209"",Color/Form is Whitesolid,Boiling_Point is 505.8°Fat760mmHg(USCG,1999),Melting_Point is 99.7°F(USCG,1999),Flash_Point is 285°F(USCG,1999),Density is 0.824at100.4°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":49,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
Diazepam,-4.05,1,284.74600000000004,0,3,1,32.67,-3.754,CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23,"cid is 13618,compound_name is 2,3,6-Trichlorophenol,cid_paras is 13618,Molecular_Weight is 197.4,XLogP3 is 3.8,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 195.924948,Monoisotopic_Mass is 195.924948,Topological_Polar_Surface_Area is 20.2,""Unit"":""Å²"",Heavy_Atom_Count is 10,Formal_Charge is 0,Complexity is 120,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is 2,3,6-trichlorophenolappearsascolorlessneedlesorpurplecrystallinesolid.Tastethresholdconcentration:0.0005mg/L.Odorthresholdconcentration(detection):0.3mg.(NTP,1992)"",""Markup"":[{""Start"":0,""Length"":21,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/2%2C3%2C6-trichlorophenol"",""Type"":""PubChemInternalLink"",""Extra"":""CID-13618,Color/Form is NEEDLESFROMDILUTEALCOHOL,PETROLEUMETHER,Boiling_Point is 487°Fat760mmHg(NTP,1992),Melting_Point is 131to135°F(NTP,1992),Flash_Point is 174°F(NTP,1992)"
2-Methyl-3-pentanol,-1.308,1,102.177,1,0,2,20.23,-0.7,CCC(O)C(C)C,"cid is 1176,compound_name is Urea,cid_paras is 1176,Molecular_Weight is 60.056,XLogP3 is -1.4,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 60.032362755,Monoisotopic_Mass is 60.032362755,Topological_Polar_Surface_Area is 69.1,""Unit"":""Å²"",Heavy_Atom_Count is 4,Formal_Charge is 0,Complexity is 29,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Ureaappearsassolidodorlesswhitecrystalsorpellets.Density1.335g/cc.Noncombustible."",""Markup"":[{""Start"":0,""Length"":4,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Urea"",""Type"":""PubChemInternalLink"",""Extra"":""CID-1176,Color/Form is Whitecrystalsorpowder,Odor is MAYGRADUALLYDEVELOPSLIGHTODOROFAMMONIA,ESPINPRESENCEOFMOISTURE"",""Markup"":[{""Start"":37,""Length"":7,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/AMMONIA"",""Type"":""PubChemInternalLink"",""Extra"":""CID-222,Boiling_Point is Decomposes(NTP,1992),Melting_Point is 275°F(NTP,1992),Density is 1.34at68°F(USCG,1999)-Denserthanwater;willsink"",""Markup"":[{""Start"":41,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
fensulfothion,-3.283,1,308.36100000000005,0,1,7,44.760000000000005,-2.3,CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O ,"cid is 7927,compound_name is 1,3-Dibromobenzene,cid_paras is 7927,Molecular_Weight is 235.90,XLogP3 is 3.8,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 235.86593,Monoisotopic_Mass is 233.86798,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 64.9,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Colorlessliquid;[MSDSonline]"
borneol,-2.423,1,154.253,1,2,0,20.23,-2.32,CC1(C)C2CCC1(C)C(O)C2,"cid is 8221,compound_name is Stearyl Alcohol,cid_paras is 8221,Molecular_Weight is 270.5,XLogP3 is 8.4,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 16,Exact_Mass is 270.292265831,Monoisotopic_Mass is 270.292265831,Topological_Polar_Surface_Area is 20.2,""Unit"":""Å²"",Heavy_Atom_Count is 19,Formal_Charge is 0,Complexity is 145,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Liquid;OtherSolid;NKRA;PelletsorLargeCrystals,Liquid,OtherSolid;PelletsorLargeCrystals,OtherSolid;DryPowder,Color/Form is Leafletsfromethanol,Odor is Faint,Boiling_Point is 210.5°Cat15mmHg,Melting_Point is 59.5°C,Flash_Point is 200°C,Density is 0.8124at59°C/4°C"
Testosterone,-3.659,1,288.431,1,4,0,37.3,-4.02,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1O,"cid is 904,compound_name is Acetanilide,cid_paras is 904,Molecular_Weight is 135.16,XLogP3 is 1.2,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 1,Exact_Mass is 135.068413911,Monoisotopic_Mass is 135.068413911,Topological_Polar_Surface_Area is 29.1,""Unit"":""Å²"",Heavy_Atom_Count is 10,Formal_Charge is 0,Complexity is 116,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Acetanilideisawhitetograysolid.(NTP,1992)"",""Markup"":[{""Start"":0,""Length"":11,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Acetanilide"",""Type"":""PubChemInternalLink"",""Extra"":""CID-904,Color/Form is ORTHORHOMBICPLATESORSCALESFROMWATER"",""Markup"":[{""Start"":35,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/WATER"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962,Odor is ODORLESS,Boiling_Point is 579°Fat760mmHg(NTP,1992),Melting_Point is 237.7°F(NTP,1992),Flash_Point is 345°F(NTP,1992),Density is 1.219at59°F(NTP,1992)-Denserthanwater;willsink"",""Markup"":[{""Start"":41,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
Heptane,-2.97,1,100.205,0,0,4,0.0,-4.53,CCCCCCC,"cid is 135403802,compound_name is Hematein,cid_paras is 135403802,Molecular_Weight is 300.26,XLogP3 is -0.1,Hydrogen_Bond_Donor_Count is 4,Hydrogen_Bond_Acceptor_Count is 6,Rotatable_Bond_Count is 0,Exact_Mass is 300.06338810,Monoisotopic_Mass is 300.06338810,Topological_Polar_Surface_Area is 107,""Unit"":""Å²"",Heavy_Atom_Count is 22,Formal_Charge is 0,Complexity is 645,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 1,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
1-Napthol,-3.08,1,144.17299999999997,1,2,0,20.23,-2.22,Oc1cccc2ccccc12,"cid is 3767,compound_name is Isoniazid,cid_paras is 3767,Molecular_Weight is 137.14,XLogP3 is -0.7,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 3,Rotatable_Bond_Count is 1,Exact_Mass is 137.058911855,Monoisotopic_Mass is 137.058911855,Topological_Polar_Surface_Area is 68,""Unit"":""Å²"",Heavy_Atom_Count is 10,Formal_Charge is 0,Complexity is 120,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Isoniazidappearsasodorlesscolorlessorwhitecrystalsorwhitecrystallinepowder.Tasteisslightlysweetatfirstandthenbitter.pH(1%aqueoussolution)5.5-6.5.pH(5%aqueoussolution)6-8.(NTP,1992)"",""Markup"":[{""Start"":0,""Length"":9,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Isoniazid"",""Type"":""PubChemInternalLink"",""Extra"":""CID-3767,Color/Form is COLORLESSORWHITECRYSTALS,ORAWHITE,CRYSTALLINEPOWDER,Melting_Point is 340.5°F(NTP,1992),Flash_Point is 374°F(NTP,1992)"
"cis-1,2-Dimethylcyclohexane",-3.305,1,112.216,0,1,0,0.0,-4.3,C/C1CCCCC1\C,"cid is 90590,compound_name is Fenfuram,cid_paras is 90590,Molecular_Weight is 201.22,XLogP3 is 2.2,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 2,Exact_Mass is 201.078978594,Monoisotopic_Mass is 201.078978594,Topological_Polar_Surface_Area is 42.2,""Unit"":""Å²"",Heavy_Atom_Count is 15,Formal_Charge is 0,Complexity is 224,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
Trimazosin,-3.958,1,435.48100000000034,2,3,6,132.5,-3.638,COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O ,"cid is 8052,compound_name is Isopentyl formate,cid_paras is 8052,Molecular_Weight is 116.16,XLogP3 is 1.8,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 4,Exact_Mass is 116.083729621,Monoisotopic_Mass is 116.083729621,Topological_Polar_Surface_Area is 26.3,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 59.5,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Liquid,Boiling_Point is 123.00to124.00°C.@760.00mmHg,Melting_Point is -93.5°C,Density is 0.881-0.889"
Cholanthrene,-5.942,2,254.33199999999997,0,5,0,0.0,-7.85,C1Cc2c3c1cccc3cc4c2ccc5ccccc54,"cid is 7410,compound_name is Acetophenone,cid_paras is 7410,Molecular_Weight is 120.15,XLogP3 is 1.6,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 1,Exact_Mass is 120.057514874,Monoisotopic_Mass is 120.057514874,Topological_Polar_Surface_Area is 17.1,""Unit"":""Å²"",Heavy_Atom_Count is 9,Formal_Charge is 0,Complexity is 101,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Acetophenoneappearsasacolorlessliquidwithasweetpungenttasteandodorresemblingtheodoroforanges.Freezesundercoolconditions.Slightlysolubleinwateranddenserthanwater.Hencesinksinwater.Vaporheavierthanair.Amildirritanttoskinandeyes.Vaporscanbenarcoticinhighconcentrations.Usedasaflavoring,solvent,andpolymerizationcatalyst."",""Markup"":[{""Start"":0,""Length"":12,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Acetophenone"",""Type"":""PubChemInternalLink"",""Extra"":""CID-7410"",Color/Form is Colorlessliquid,Odor is Sweetpungentodor,Boiling_Point is 395.1°Fat760mmHg(USCG,1999),Melting_Point is 67.5°F(USCG,1999),Flash_Point is 180°F(USCG,1999),Density is 1.028at68°F(USCG,1999)-Denserthanwater;willsink"",""Markup"":[{""Start"":42,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
Medrogestone,-4.593,1,340.5070000000001,0,4,1,34.14,-5.27,CC(=O)C3(C)CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C,"cid is 8412,compound_name is 2,2'-Biquinoline,cid_paras is 8412,Molecular_Weight is 256.3,XLogP3 is 4.3,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 1,Exact_Mass is 256.100048391,Monoisotopic_Mass is 256.100048391,Topological_Polar_Surface_Area is 25.8,""Unit"":""Å²"",Heavy_Atom_Count is 20,Formal_Charge is 0,Complexity is 297,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Lightyellowpowder;[AldrichMSDS]"
2-Heptanone,-1.554,1,114.188,0,0,4,17.07,-1.45,CCCCCC(=O)C,"cid is 6535,compound_name is Triethyl phosphate,cid_paras is 6535,Molecular_Weight is 182.15,XLogP3 is 0.8,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 4,Rotatable_Bond_Count is 6,Exact_Mass is 182.07079595,Monoisotopic_Mass is 182.07079595,Topological_Polar_Surface_Area is 44.8,""Unit"":""Å²"",Heavy_Atom_Count is 11,Formal_Charge is 0,Complexity is 113,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Triethylphosphateappearsasacolorless,corrosiveliquid.Combustible.Slowlydissolvesinwaterandsinksinwater.Severelyirritatesskin,eyesandmucousmembranes."",""Markup"":[{""Start"":0,""Length"":18,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Triethyl%20phosphate"",""Type"":""PubChemInternalLink"",""Extra"":""CID-6535"",Color/Form is Liquid,Odor is Mild,Boiling_Point is 419to421°Fat760mmHg;217°Fat25mmHg(NTP,1992),Melting_Point is -69.5°F(NTP,1992),Flash_Point is 240°F(NTP,1992),Density is 1.068(USCG,1999)-Denserthanwater;willsink"",""Markup"":[{""Start"":33,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
Acephate,-0.416,1,183.169,1,0,3,55.4,0.54,COP(=O)(NC(C)=O)SC ,"cid is 14525,compound_name is Fenchone,cid_paras is 14525,Molecular_Weight is 152.23,XLogP3 is 2.3,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 152.120115130,Monoisotopic_Mass is 152.120115130,Topological_Polar_Surface_Area is 17.1,""Unit"":""Å²"",Heavy_Atom_Count is 11,Formal_Charge is 0,Complexity is 217,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 2,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Colorlessliquidwithacamphor-likeodor;mp=5degC;[ChemServiceMSDS]"",""Markup"":[{""Start"":24,""Length"":7,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/camphor"",""Type"":""PubChemInternalLink"",""Extra"":""CID-2537,Boiling_Point is 192.00to194.00°C.@760.00mmHg,Melting_Point is 5-6°C,Density is 0.941-0.946"
DEF,-4.074,1,314.5220000000001,0,0,12,17.07,-5.14,CCCCSP(=O)(SCCCC)SCCCC,"cid is 23422050,compound_name is 7-Methoxypteridine,cid_paras is 23422050,Molecular_Weight is 162.15,XLogP3 is 0.1,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 5,Rotatable_Bond_Count is 1,Exact_Mass is 162.05416083,Monoisotopic_Mass is 162.05416083,Topological_Polar_Surface_Area is 60.8,""Unit"":""Å²"",Heavy_Atom_Count is 12,Formal_Charge is 0,Complexity is 154,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
phthalamide,-0.636,1,149.149,1,2,0,46.17,-2.932,c1cC2C(=O)NC(=O)C2cc1,"cid is 19519,compound_name is Chlordene,cid_paras is 19519,Molecular_Weight is 338.9,XLogP3 is 4.2,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 337.857116,Monoisotopic_Mass is 335.860066,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 16,Formal_Charge is 0,Complexity is 439,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 4,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Off-whitepowder;[MSDSonline]"
