iupac,smiles,expt,calc,Description
methylcyclohexane,CC1CCCCC1,1.7,1.679,"cid is 10553,compound_name is 2-Methyl-2-butene,cid_paras is 10553,Molecular_Weight is 70.13,XLogP3 is 2.3,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 70.078250319,Monoisotopic_Mass is 70.078250319,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 5,Formal_Charge is 0,Complexity is 38,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is 2-methyl-2-buteneappearsasaclearcolorlessliquidwithapetroleum-likeodor.Lessdensethanwaterandinsolubleinwater.Hencefloatsonwater.Vaporsheavierthanair."",""Markup"":[{""Start"":0,""Length"":17,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/2-methyl-2-butene"",""Type"":""PubChemInternalLink"",""Extra"":""CID-10553"",Color/Form is LIQUIDATROOMTEMPERATURE,Odor is Disagreeableodor,Boiling_Point is 37.5-38.5°C,Melting_Point is -133.61°C,Flash_Point is lessthan20°F(NFPA,2010),Solubility is Practicallyinsolinwater;misciblewithalcohol,ether"",""Markup"":[{""Start"":21,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962,Density is 0.66@15°C/4°C"
2-methylthiophene,Cc1cccs1,-1.38,-0.3,"cid is 11,compound_name is 1,2-Dichloroethane,cid_paras is 11,Molecular_Weight is 98.96,XLogP3 is 1.5,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 1,Exact_Mass is 97.9690055,Monoisotopic_Mass is 97.9690055,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 4,Formal_Charge is 0,Complexity is 6,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Ethylenedichlorideappearsasaclearcolorlessliquidwithachloroform-likeodor.Flashpoint56°F.Denserthanwaterandinsolubleinwater.Vaporsareheavierthanair.Density10.4lb/gal."",""Markup"":[{""Start"":0,""Length"":19,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Ethylene%20dichloride"",""Type"":""PubChemInternalLink"",""Extra"":""CID-11"",Color/Form is Heavyliquid,Odor is Pleasant,chloroform-like,Boiling_Point is 182.3°Fat760mmHg(NTP,1992),Melting_Point is -31.5°F(NTP,1992),Flash_Point is 56°F(NTP,1992),Solubility is 5to10mg/mLat66°F(NTP,1992),Density is 1.253at68°F(USCG,1999)-Denserthanwater;willsink"",""Markup"":[{""Start"":42,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
pyridine,c1ccncc1,-4.69,-3.508,"cid is 11229,compound_name is 3,3-Dimethylpentane,cid_paras is 11229,Molecular_Weight is 100.20,XLogP3 is 3.6,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 2,Exact_Mass is 100.125200510,Monoisotopic_Mass is 100.125200510,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 7,Formal_Charge is 0,Complexity is 38,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Colorlessliquid;[AlfaAesarMSDS]"
1-chlorobutane,CCCCCl,-0.16,0.993,"cid is 11386,compound_name is 2,3-Dimethylnaphthalene,cid_paras is 11386,Molecular_Weight is 156.22,XLogP3 is 4.4,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 156.093900383,Monoisotopic_Mass is 156.093900383,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 12,Formal_Charge is 0,Complexity is 132,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Whitesolid;[AlfaAesarMSDS]"
"2,5-dimethyltetrahydrofuran",C[C@H]1CC[C@@H](O1)C,-2.92,-1.787,"cid is 7937,compound_name is 2,6-Dimethylpyridine,cid_paras is 7937,Molecular_Weight is 107.15,XLogP3 is 1.7,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 107.073499291,Monoisotopic_Mass is 107.073499291,Topological_Polar_Surface_Area is 12.9,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 62.8,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Lutidineappearsasacolorlessliquidwithapeppermintodor.Lessdensethanwater.Vaporsheavierthanair.Producestoxicoxidesofnitrogenduringcombustion.Usedtomakeotherchemicals."",""Markup"":[{""Start"":0,""Length"":8,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Lutidine"",""Type"":""PubChemInternalLink"",""Extra"":""CID-7937"",Color/Form is Oilyliq,Odor is Odorofpyridinepluspeppermint"",""Markup"":[{""Start"":8,""Length"":8,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/pyridine"",""Type"":""PubChemInternalLink"",""Extra"":""CID-1049,Boiling_Point is 144°C@760mmHg,Melting_Point is -5.8°C,Flash_Point is 33°C,Solubility is Slightlysolubleinethanol;solubleinethyletherandacetone"",""Markup"":[{""Start"":20,""Length"":7,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/ethanol"",""Type"":""PubChemInternalLink"",""Extra"":""CID-702"",Density is 0.9252@20°C/4°C"
4-methyl-2-methoxyphenol,Cc1ccc(c(c1)OC)O,-5.8,-4.547,"cid is 4116,compound_name is Methoxyflurane,cid_paras is 4116,Molecular_Weight is 164.96,XLogP3 is 2.2,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 3,Rotatable_Bond_Count is 2,Exact_Mass is 163.9607265,Monoisotopic_Mass is 163.9607265,Topological_Polar_Surface_Area is 9.2,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 75.7,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Methoxyfluraneisaclearcolorlessliquidwithasweetfruityodor.(NTP,1992)"",""Markup"":[{""Start"":0,""Length"":14,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Methoxyflurane"",""Type"":""PubChemInternalLink"",""Extra"":""CID-4116,Color/Form is Liquid,Odor is Fruity,Boiling_Point is 220.3°Fat760mmHg(NTP,1992),Melting_Point is -31°F(NTP,1992),Flash_Point is 145°F(NTP,1992),Solubility is lessthan1mg/mLat66°F(NTP,1992),Density is 1.426at68°F(NTP,1992)-Denserthanwater;willsink"",""Markup"":[{""Start"":41,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
chlordane,C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-3.44,-3.23,"cid is 8095,compound_name is 2-Ethoxyethyl acetate,cid_paras is 8095,Molecular_Weight is 132.16,XLogP3 is 0.3,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 3,Rotatable_Bond_Count is 5,Exact_Mass is 132.078644241,Monoisotopic_Mass is 132.078644241,Topological_Polar_Surface_Area is 35.5,""Unit"":""Å²"",Heavy_Atom_Count is 9,Formal_Charge is 0,Complexity is 80.4,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Ethyleneglycolmonoethyletheracetateappearsasaclearcolorlessliquidwithapleasantodor.Flashpointof120°F.Lessdensethanwater.Vaporsareheavierthanair."",""Markup"":[{""Start"":0,""Length"":39,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Ethylene%20glycol%20monoethyl%20ether%20acetate"",""Type"":""PubChemInternalLink"",""Extra"":""CID-8095"",Color/Form is Colorlessliquid,Odor is MILDESTER-LIKEODORBECOMESOBJECTIONABLEINHIGHCONCN...,Boiling_Point is 313°Fat760mmHg(NTP,1992),Melting_Point is -79.1°F(NTP,1992),Flash_Point is 135°F(NTP,1992),Solubility is greaterthanorequalto100mg/mLat66°F(NTP,1992),Density is 0.974at68°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":46,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
toluene,Cc1ccccc1,-0.9,-0.79,"cid is 10824,compound_name is m-Anisidine,cid_paras is 10824,Molecular_Weight is 123.15,XLogP3 is 0.9,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 1,Exact_Mass is 123.068413911,Monoisotopic_Mass is 123.068413911,Topological_Polar_Surface_Area is 35.2,""Unit"":""Å²"",Heavy_Atom_Count is 9,Formal_Charge is 0,Complexity is 85,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is M-anisidineappearsaspaleyellowoilyliquidordarkredliquid.(NTP,1992)"",""Markup"":[{""Start"":0,""Length"":11,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/M-anisidine"",""Type"":""PubChemInternalLink"",""Extra"":""CID-10824,Color/Form is Paleyellow,oilyliquid,Boiling_Point is 484°Fat760mmHg(NTP,1992),Melting_Point is 30to34°F(NTP,1992),Flash_Point is greaterthan235°F(NTP,1992),Solubility is lessthan1mg/mLat66°F(NTP,1992),Density is 1.096at68°F(NTP,1992)-Denserthanwater;willsink"",""Markup"":[{""Start"":41,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
isobutyl formate,CC(C)COC=O,-2.22,-3.458,"cid is 10371,compound_name is 3-Pyridinecarboxaldehyde,cid_paras is 10371,Molecular_Weight is 107.11,XLogP3 is 0.3,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 1,Exact_Mass is 107.037113783,Monoisotopic_Mass is 107.037113783,Topological_Polar_Surface_Area is 30,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 82.6,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Paleyellowliquid;mp=8degC;[AlfaAesarMSDS]"
ethyl paraben,CCOC(=O)c1ccc(cc1)O,-9.2,-9.535,"cid is 6405,compound_name is 2-Methyl-2-butanol,cid_paras is 6405,Molecular_Weight is 88.15,XLogP3 is 0.9,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 1,Exact_Mass is 88.088815002,Monoisotopic_Mass is 88.088815002,Topological_Polar_Surface_Area is 20.2,""Unit"":""Å²"",Heavy_Atom_Count is 6,Formal_Charge is 0,Complexity is 39.2,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Tert-amylalcoholappearsasaclear,colorlessliquidwithanodorofcamphor.Slightlysolubleinwater."",""Markup"":[{""Start"":0,""Length"":17,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Tert-amyl%20alcohol"",""Type"":""PubChemInternalLink"",""Extra"":""CID-6405"",Color/Form is Colorlessliquid,Odor is Characteristicodor,Boiling_Point is 102.4°Cat760mmHg,Melting_Point is -9.1°C,Flash_Point is 67°F(NFPA,2010),Solubility is Solubilityinwater:12.1%wtat20°C;11.0%wtat25°C;10.1%wtat30°C"",""Markup"":[{""Start"":14,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962,Density is 0.8096at20°C/4°C"
"1,2-diethoxyethane",CCOCCOCC,-3.54,-3.42,"cid is 2078,compound_name is Alachlor,cid_paras is 2078,Molecular_Weight is 269.77,XLogP3 is 3.5,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 6,Exact_Mass is 269.1182566,Monoisotopic_Mass is 269.1182566,Topological_Polar_Surface_Area is 29.5,""Unit"":""Å²"",Heavy_Atom_Count is 18,Formal_Charge is 0,Complexity is 248,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Alachlorisacrystallinesolid.Meltingpoint104-106°F(40-41°C).Usedasaherbicide."",""Markup"":[{""Start"":0,""Length"":8,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Alachlor"",""Type"":""PubChemInternalLink"",""Extra"":""CID-2078,Color/Form is Colorlesstowhitecrystallinesolid,Odor is Odorless,Boiling_Point is 100°Cat0.02mmHg;135°Cat0.3mmHg,Melting_Point is 40-41°C,Flash_Point is 137°Cc.c.,Solubility is Solubleindiethylether,acetone,benzene,chloroform,ethanol,ethylacetate;sparinglysolubleinheptane"",""Markup"":[{""Start"":11,""Length"":13,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/diethyl%20ether"",""Type"":""PubChemInternalLink"",""Extra"":""CID-3283"",Density is 1.133at25°C/15.6°C"
pentyl propanoate,CCCCCOC(=O)CC,-2.11,-2.176,"cid is 7304,compound_name is 1-Methylpyrrole,cid_paras is 7304,Molecular_Weight is 81.12,XLogP3 is 1.2,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 81.057849228,Monoisotopic_Mass is 81.057849228,Topological_Polar_Surface_Area is 4.9,""Unit"":""Å²"",Heavy_Atom_Count is 6,Formal_Charge is 0,Complexity is 37.2,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Colorlessliquid;[Hawley]Brightyellowliquid;[Ullmann],Boiling_Point is TheGuideintheEmergencyResponseGuidebookisfor\""Flammableliquid,n.o.s.\""112-113°C,Melting_Point is -57.00°C.@760.00mmHg,Flash_Point is 16°C"
4-propylphenol,CCCc1ccc(cc1)O,-5.21,-5.211,"cid is 8020,compound_name is Dimethoxymethane,cid_paras is 8020,Molecular_Weight is 76.09,XLogP3 is 0.2,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 2,Exact_Mass is 76.052429494,Monoisotopic_Mass is 76.052429494,Topological_Polar_Surface_Area is 18.5,""Unit"":""Å²"",Heavy_Atom_Count is 5,Formal_Charge is 0,Complexity is 12.4,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Methylalappearsasaclearcolorlessliquidwithachloroform-likeodor.Flashpoint0°F.Boilingpoint42.3°C.Density0.864g/cm3at68°F(20°C).Vaporsheavierthanair."",""Markup"":[{""Start"":0,""Length"":8,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Methylal"",""Type"":""PubChemInternalLink"",""Extra"":""CID-8020"",Color/Form is COLORLESS,CLEARLIQUID,Odor is CHLOROFORMODOR,Boiling_Point is 108°Fat760mmHg(USCG,1999),Melting_Point is -157°F(USCG,1999),Flash_Point is 0°F(USCG,1999),Solubility is 33%(NIOSH,2024),Density is 0.861at68°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":46,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
2-methylbut-2-ene,CC=C(C)C,1.31,2.272,"cid is 11428,compound_name is 3-Pentanol,cid_paras is 11428,Molecular_Weight is 88.15,XLogP3 is 1.2,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 2,Exact_Mass is 88.088815002,Monoisotopic_Mass is 88.088815002,Topological_Polar_Surface_Area is 20.2,""Unit"":""Å²"",Heavy_Atom_Count is 6,Formal_Charge is 0,Complexity is 23.1,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Liquid;[MerckIndex]Colorlessliquid;[ICSC],Boiling_Point is 116°C,Melting_Point is -8°C,Flash_Point is 30°Cc.c.,Solubility is Solubilityinwater,g/100mlat30°C:5.5(moderate)"",""Markup"":[{""Start"":14,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962,Density is Relativedensity(water=1):0.8"",""Markup"":[{""Start"":18,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
"1,2-dichloroethane",C(CCl)Cl,-1.79,-0.363,"cid is 8163,compound_name is 2-Undecanone,cid_paras is 8163,Molecular_Weight is 170.29,XLogP3 is 4.1,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 8,Exact_Mass is 170.167065321,Monoisotopic_Mass is 170.167065321,Topological_Polar_Surface_Area is 17.1,""Unit"":""Å²"",Heavy_Atom_Count is 12,Formal_Charge is 0,Complexity is 108,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Colorless,oilyliquid;[HSDB]Colorlessliquid;mp=11-13degC;[MSDSonline],Color/Form is Oilyliquid,Odor is Strongodor,Boiling_Point is 231.5°C,Melting_Point is 15°C,Flash_Point is 192°F(89°C)(Closedcup),Solubility is Insolubleinwater.Solubleinethanol,ether,acetone,benzene,carbontetrachloride,chloroform."",""Markup"":[{""Start"":13,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"",Density is 0.8260to0.8263at20°C/4°C"
"3,3-dimethylpentane",CCC(C)(C)CC,2.56,2.593,"cid is 7849,compound_name is 1-Bromo-2-chloroethane,cid_paras is 7849,Molecular_Weight is 143.41,XLogP3 is 1.6,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 1,Exact_Mass is 141.91849,Monoisotopic_Mass is 141.91849,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 4,Formal_Charge is 0,Complexity is 10,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is 1-chloro-2-bromoethaneisaclearcolorlessliquidwithasweetchloroform-likeodor.(NTP,1992)"",""Markup"":[{""Start"":0,""Length"":22,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/1-chloro-2-bromoethane"",""Type"":""PubChemInternalLink"",""Extra"":""CID-7849"",Color/Form is Colorlessliquid,Odor is Chloroform-likeodor,Boiling_Point is 225°Fat760mmHg(NTP,1992),Melting_Point is 2.1°F(NTP,1992),Flash_Point is none,Solubility is 5to10mg/mLat70°F(NTP,1992),Density is 1.7392at68°F(NTP,1992)-Denserthanwater;willsink"",""Markup"":[{""Start"":42,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
"2,3-dimethylnaphthalene",Cc1cc2ccccc2cc1C,-2.78,-2.953,"cid is 11575,compound_name is Iodobenzene,cid_paras is 11575,Molecular_Weight is 204.01,XLogP3 is 3.2,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 203.94360,Monoisotopic_Mass is 203.94360,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 7,Formal_Charge is 0,Complexity is 46.1,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Colorlessliquid;[MerckIndex],Color/Form is Liquid,Boiling_Point is 188.4°C,Melting_Point is -31.3°C,Flash_Point is 77°C(171°F)-closedcup,Solubility is Solubleinethanol;slightlysolubleinether,DMSO"",""Markup"":[{""Start"":11,""Length"":7,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/ethanol"",""Type"":""PubChemInternalLink"",""Extra"":""CID-702"",Density is 1.808g/cucmat20°C"
"2,6-dimethylpyridine",Cc1cccc(n1)C,-4.59,-3.443,"cid is 6544,compound_name is Isophorone,cid_paras is 6544,Molecular_Weight is 138.21,XLogP3 is 1.6,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 138.104465066,Monoisotopic_Mass is 138.104465066,Topological_Polar_Surface_Area is 17.1,""Unit"":""Å²"",Heavy_Atom_Count is 10,Formal_Charge is 0,Complexity is 187,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Isophoroneappearsasaclearcolorlessliquid,withacamphor-likeodor.Lessdensethanwaterandinsolubleinwater.Boilingpoint420°F.Flashpointnear200°F.Contactirritatesskinandeyes.Toxicbyingestion.Usedasasolventandinpesticides."",""Markup"":[{""Start"":0,""Length"":10,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Isophorone"",""Type"":""PubChemInternalLink"",""Extra"":""CID-6544"",Color/Form is Water-whiteliquid,Odor is Peppermint-likeodor,Boiling_Point is 419.4°Fat760mmHg(NTP,1992),Melting_Point is 18°F(NTP,1992),Flash_Point is 184°F(NTP,1992),Solubility is 0.1to1mg/mLat64°F(NTP,1992),Density is 0.921at77°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":46,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
"2,2-dichloro-1,1-difluoro-1-methoxy-ethane",COC(C(Cl)Cl)(F)F,-1.12,-0.685,"cid is 6340,compound_name is Iodoethane,cid_paras is 6340,Molecular_Weight is 155.97,XLogP3 is 2.1,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 155.94360,Monoisotopic_Mass is 155.94360,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 3,Formal_Charge is 0,Complexity is 2.8,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Liquid,Boiling_Point is 72°C,Melting_Point is -108°C,Flash_Point is 61°Cc.c.,Solubility is Solubilityinwater,g/100mlat20°C:0.4"",""Markup"":[{""Start"":14,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962,Density is Relativedensity(water=1):1.936"",""Markup"":[{""Start"":18,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
